comment,cid,author,videoId,pageUrl,commentsCount,title
"All this CBDC stuff sounds nice... but it's not gonna happen. Maybe here in the Netherlands people are naive and would adopt it... but in the rest of the EU people still largely depend on physical cash.... the EU structure is practically not sustainable as it is, with the southern states chronically at the ECB's life-support as they already CAN'T pay their debts... you now gonna introduce a CBDC that they know is gonna crush and destroy the economy likely to almost zero? That would mean a heavily reduced taxpayers income for the government at a moment they already can't pay their debts... and 1 government bankruptcy in the EU effectively means the end of the euro and the end of the EU. And if the EU goes as an economic powerhouse, well that's gonna create severe ripple effects that will crush and topple other economies the world over, much like the 2008 US housing crisis did.",Ugx_uuzObIuPelE3Dq54AaABAg.9pLr1qI5b-b9pNwPxpewAt,@stijnvdv2,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
 @user-dy2qq5wh4b    XRP is a scam.   They might use Ripple but it won’t benefit us,Ugx_uuzObIuPelE3Dq54AaABAg.9pLr1qI5b-b9pNHMyFQMdb,@joncabotxox9389,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Guess who tried to stop this before WW2 ?,Ugx_uuzObIuPelE3Dq54AaABAg.9pLr1qI5b-b9pNHC4dewa2,@joncabotxox9389,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
 @RealitySurvival  You are right the Central banks aren't government controlled either. They are their own entity.  We will be controlled by a few organizations that were not voted on by the people.,Ugx_uuzObIuPelE3Dq54AaABAg.9pLr1qI5b-b9pMUO5e1Go-,@larrydalton7164,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"So how does this challenge or compliment XRP?
Im hearing that XRP is looking to becoming the BRICS version of instant cross border payments.",Ugx_uuzObIuPelE3Dq54AaABAg.9pLr1qI5b-b9pMRdVd7Fwl,@user-dy2qq5wh4b,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
The digital currency monetary authority isn't an actual official organization. It is just a website that the creator of the Unicoin created to sell his idea of the IMF and the World bank to adopt his coin.,Ugx_uuzObIuPelE3Dq54AaABAg.9pLr1qI5b-b9pLwYhTyxQL,@RealitySurvival,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"Hello Lena, 
Thank you for this information; I was wondering if you were involved in any CBDC wallet research and development. if one has been built for the purpose of interoperability?",Ugx_uuzObIuPelE3Dq54AaABAg.9pLr1qI5b-b9rJS7z7mSnm,@solomonotowo7300,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"​ @stijnvdv2 hi, I have a feeling that this digital ""currency"" will not need to be based upon gold, and if it is it will be a generous ratio per ounce to the unit of $. It is still a fiat currency, as in computer generated, so really, it's a way to bail out governments and the banks for their irresponsible and responsible lending, and to help equalize funds between nations (if they have an altruistic bone in their body). The Paris Agreement hinted at this, as this equalizing is helpful for sustainable goals, but also for surveillance. I heard today that it is going through. India, Britain and Nigeria are already ushering in their version. The US has FedNow coming in July, but our banks haven't heard a word about it, thus far. CBDC may come next year, especially if the () cause a bank run on small banks, but that is speculative.",Ugx_uuzObIuPelE3Dq54AaABAg.9pLr1qI5b-b9pq3ffJaW8R,@cambriawellness3102,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
" @stijnvdv2  Just because the government goes totally digital shouldn't effect economies where cash is used primarily. It's the fact big brother will know every translation you make and  have total control of your money! So far over 120 countries have signed up for the CBDC including most of Europe! I am from the US our leaders here and most other countries are throwing it's citizens ""under the bus!!""",Ugx_uuzObIuPelE3Dq54AaABAg.9pLr1qI5b-b9pf343_eC8v,@larrydalton7164,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"Right had not heard of testing and prep, coz most likely they were working on this long before 2020. Most likely they had prepped it in tandem w/the depopulation cr19 psyop.",Ugx_uuzObIuPelE3Dq54AaABAg.9pLr1qI5b-b9peFNd1f4DM,@ronregnier2179,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"You’re WRONG for saying that China created the digital Yuan with an expiration date . When China first launched the trial of digital Yuan, China offered a set amount of free money for trial and so they set an expiration date for it because they wanted people to go out and use it because they want to see how it works out. But no more expiration dates now.",Ugx_uuzObIuPelE3Dq54AaABAg.9pLr1qI5b-b9pZ1CQNHcp2,@jonhone1,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"I mean don't you think the government will intervene with Bitcoin otherwise they would never get their CBDC off the ground, everyone would go to Bitcoin.",Ugx_uuzObIuPelE3Dq54AaABAg.9pLr1qI5b-b9pU5pYX0suM,@larrydalton7164,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
 @RealitySurvival  Who cares what's a website and what isn't... it's being implemented and over a hundred and twenty countries have sinned up for it.Maybe I misunderstood you?,Ugx_uuzObIuPelE3Dq54AaABAg.9pLr1qI5b-b9pU5W0OH72Y,@larrydalton7164,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
 @larrydalton7164  yep lots have. What is your point? That doesn’t have anything to do with the DCMA or Unicoin.,Ugx_uuzObIuPelE3Dq54AaABAg.9pLr1qI5b-b9pTvPlNk1Nn,@RealitySurvival,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
 @RealitySurvival Several countries have already began issuing digital currency! The Nigerians are trying to stop it from being implemented! The government stepped in and limited citizens as to how much they could withdraw in a week from their bank accounts!,Ugx_uuzObIuPelE3Dq54AaABAg.9pLr1qI5b-b9pTtjHDN6nb,@larrydalton7164,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Since the end of WW2 the real Australian and once healthy Australia has been destroyed 'covertly' .Raped of all its immense natural resources and filled with 'millions of mostly Third World scablabor Migrants . britshtfascists,Ugx_uuzObIuPelE3Dq54AaABAg.9pLr1qI5b-b9pSeuJCIlDL,@thelastaustralian7583,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"CASH IS KING.
Central Bank digital currency failed again 😊",Ugx_uuzObIuPelE3Dq54AaABAg.9pLr1qI5b-b9pSbvLWkUyn,@longlinemaster,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
NO to CBDC,UgzufuW3AIx3fBojbsh4AaABAg,@amapola53,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Buy us mint silver dollars!,UgwA9skqWza5ZAl2lN94AaABAg,@marcn3970,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
K.I.M.S. system is operating the qfs system replacing the Swift system don't go with the IMF or the world Bank  it will crash cannot handle millions of transactions,UgyYbayzkKpCpeX2GG14AaABAg,@afagan3772,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Thanks!,Ugyp5XB64ut_xwU0O-t4AaABAg,@earlymcwhorter1067,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
If any hard working taxpayers believe this is not a form of communist party control you are sadly ignorant or under complete Democratic party indoctrination,UgxUM334U5i1Q8FTlVR4AaABAg,@garymiller4141,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
If the taxpayers think that the government is here to help the citizens you must be on drugs.THIS IS TOTAL CONTROL BY THE GOVERNMENT TO TURN YOU ON OR TURN YOU OFF AT THERE WILL.,UgzHa3ciQiXODj4-HLF4AaABAg,@garymiller4141,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"Would never swich, volutarily !! Christ says ‘ No peace, but sword !!!’",UgyTxbuFt8JQGKZiXI94AaABAg,@martintatarov7226,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"A game changer in banking?
Or a new guaranteed way to steal our money!",UgyBeFBh7Ib64PYjrQl4AaABAg,@hmz6535,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Is that Birch Gold,UgxF1ztYzroI9erp4wh4AaABAg,@MatheP16,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"The Paris Accord hinted at making all economies equitable, to my understanding. This may be their way of bringing down the US$, the EURO and the British pound, while raising every other national currency. Accordingly, we may be paying for our high consumption of natural resources and thereby pollution. Of course, I don't like having our dollar devalued, but with our lavish, unbridled spending, we seem to be doing that already. I do not like the algorithmic social credit score aspect of controlling what we spend or closing someone's bank account! I'm with FL, IL & Texas on this!",Ugw6Vubm83Ax06vOnoF4AaABAg,@cambriawellness3102,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
I WILL NOT I REPEAT NOT COMPLY TO THEIR CBDC WHOS WITH ME SPEAK UP LETS GET THIS PARTY STARED NOW,Ugy1oOKtmCfvuKGm83p4AaABAg,@nikkifarris9873,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
No physical cash as my payment no physical work from me end of.,UgxD0xeH8R9FRHRXuDN4AaABAg,@jstanbridge6838,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"When the beast system begins, people will throw their silver and gold in the streets, because it will be worthless. Those who take the mark of the beast will suffer through the plagues of Revelation chapter's 6-19. When the rapture takes place, there will be a seven year treaty signed by the antichrist and the nation of Israel. The tribulation and great tribulation will be terrible. And except those days be shortened, no flesh shall be saved. Man will not be in charge of these events, he will be under judgment, and the end of gentile world powers. Look up, for your redemption draws nigh.",Ugwxm_Bqnjwr8YLD-pZ4AaABAg,@georgeearst6072,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"This is not what I signed up for in my life, nor the way this future has become so totalitarian",Ugw3p61wsFrCbZSWIah4AaABAg,@darkmax1974,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Your system is so slow,Ugzky-rkAA8llq7-tGh4AaABAg,@joeljohn7230,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Fed coin = Uni coin ?,UgzGECaYcmN4xhLrMvl4AaABAg,@lobsterking3633,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
more incompetent bankers fraud.  the world has gone to BRICS AND USES  THEIR OWN CURRENCY. the USA people must join BRICS  state by state.   learn.,UgwpuHq4-RuNr5HXZHx4AaABAg,@spymaine89,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"many USA states have laws  that gold is legal tender  take all your dying dollARS   IN HAND AND IN   INVESTMENTS    and buy gold bullian in hand,   in pot ,     back yard, or lose all...",Ugzv9C-ldXtzS3DwcCh4AaABAg,@spymaine89,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
The only true method to down this is to cut off global internet connections or watch the central banks burn😂,UgwjXnqx2peyo7cOvNF4AaABAg,@2005daddyuk,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Small community cooperatives with foods and CASH can and should operate outside the boundaries of this HELL!,UgyDgBbz_-v4KNmzRIt4AaABAg,@2005daddyuk,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Thank you very much! I appreciate it!,Ugyp5XB64ut_xwU0O-t4AaABAg.9pzwyDpGqQ39vLipAgHES0,@lenapetrova,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Don't worry it's just your joint Bank account with the government and tax office you put the money in and they'll take it out. It's as trust worthy as the jab.,UgxzANtzirCCp6lql_t4AaABAg,@steveholloway1963,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Interesting that those that have been practising illegal tax evasion for decades are pushing a narrative regarding bank regulation. An absurd hilarious outright lie.,UgyGoUC6kALKwFdf9I94AaABAg,@chandrastar5939,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Dont trust ..central  banks ..that how they will controle  your freedoms  .,Ugx6p3Wef-54PN4bYvd4AaABAg,@mauriziocurzi3002,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"Who decides value of digital currencies..who has access, no more printing of money so i gues they just add fake money to central bank account?? How obsurd..",UgyCbQbAHp6eYaEWEcl4AaABAg,@mrs210,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"All that is required is a competitor to the CBDC. most crypto coins are BS..but there are developments, fully decentralized crypto that is also easy to use and replace fiat produce by central banks.  if u want to know more...ask",UgwHCn7Nx9EgUiURUTh4AaABAg,@AJ-oc5eh,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
New world order,UgwPZwclg_DUQlQ5aO94AaABAg,@princeafrika2918,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
No evil,Ugx8j3d4VO9E27WwnHZ4AaABAg,@joetossoun6624,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"We need to be like Florida…..  get rid of every thing the World Order wants,   THEY. VOTED THEM SELVES IN .. AND MADE THE  WORLD ORDER.  them selves ..… we don’t need to hide stuff. Money.  We just need to get rid of these crazy’s.   They want to put chips in. Out Brains, and hands so they know every thing we  do. They are a bunch of controlling.  FREAKS.      THEY ARE A. BUNCH.  OF. NUT JOBS..   WORKING  WITH   THE  DEMOCRATS",UgxlM6HOgkH20Sy8id54AaABAg,@janetdavis4724,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"Ask me for alternatives.
I will help and teach.",Ugy-AZEWGb75b4tJ5IR4AaABAg,@slawomirmosulak7282,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
No one wants them but they are shoving them down our throats!,UgyALGa06I4znV_PFOB4AaABAg,@vincepacella2417,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Hell no,UgwkwX15mIg2jJ8h-yx4AaABAg,@dalebloomstrom4095,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
not in florida,UgzoUvFn69qhJ_lFKSt4AaABAg,@johnwalter9696,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
They have the next new pandemic started already they going for the children now (a bird flu),Ugy5PedDbjDbMPf_lKJ4AaABAg,@maryjoanhill7847,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Do we have any say or fight back...,UgzZ55N4ooLaoFK7SeZ4AaABAg,@heatherbeamon2617,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Won't  happen.  Nesara/ Gesara will take over our country.,Ugz7Z4jENvnLLAseAOx4AaABAg,@keithwhite8109,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
No CBDC!!.,UgwZlafJ0UsFwYKTMmx4AaABAg,@reneesullivan1876,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Florida’s governor requested CBDC in Florida ! Important !,UgyWz3o92WZAV0PHKWV4AaABAg,@evelynebushari8195,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
👍 good news,UgyMBEQvVXmJEcffaOB4AaABAg,@muktarbala2440,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
The mark of the beast are coming . No one can buy or sell without it.,UgxSK5-X8IlI9Xip0hB4AaABAg,@kryptonite4974,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
IF YOUR GOVERNMENT CONTROLS YOUR MONEY (CBDC) THEN THEY WILL STOP YOU FROM BUYING BULLETS AND GUNS ITS THEIR WAY OF TAKING OUR GUNS ONCE YOU HAVE NO GUNS FOR DEFENDING YOURSELF FROM GOVERNMENT YOU THEIRS THEY CONTROL YOU DONT LET THEM CONTROL YOUR MONEY THEY WILL ABUSE IT,UgxQdisQyu2JGlpTmlN4AaABAg,@simolari67,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Say no to digital!!,Ugwt3GBtZIYxjYWhD6F4AaABAg,@junedeshaw9294,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Oh hell no this needs to be outlawed stay out of my life,UgySN0yxL9SfNoAkalt4AaABAg,@sherylmailath9193,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"Trust the plan not the media propaganda,a financial crash is necessary because all the worlds currencies have been worthless for years & are now obsolete the banks have been lying about everything.",UgwbcaQDG7y5q1GjO9V4AaABAg,@Ellenad369,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
XRP plays a key roll in this matter,UgwB92vFck-4HgierMN4AaABAg,@ernestoparodi7515,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
I subscribed and left a like 👍,UgzqQsxmWk5fevYENx94AaABAg,@LoneWolf-hv9xh,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Say no!! The world must not accept this !!,UgyGGB34S3U0Q8sccBx4AaABAg,@jaykatcher1769,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"Today, I can’t get access to my account. The  Chase app  bank account they lock me out until I agree with the terms and condition of the Digital Service agreement.",UgzZhd6OUDo3Rd44Nnh4AaABAg,@wisdomcalls2475,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"What is it !
And what does the currancies ,and coinages look like!!",UgzERjXJIHurFgX-DcB4AaABAg,@derrickbridges2611,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"Know, and understand ,
Every war
Since the beginning uv thine veryfoundatyion ,were all about!

We either chooe god,& jesus, 
Or eternal death with thine Devil!!!!",Ugwp6S071vsK4u8SoMF4AaABAg,@derrickbridges2611,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
